f0,f1,f2,f3,label,g_frl,g_race,g_hisp,g_intersection
1.4755980610667299,1.365918260656232,-1.243787089008908,0.013729697437326296,5,1,1,1,7
-0.1932409490262948,1.5014495416747549,2.112665021038504,-0.4595718682969197,4,1,1,0,6
-0.47364195741127674,-0.901160361534182,-2.3521162656073002,1.6595620218256466,1,1,1,0,6
1.116447911362902,1.4544896047821556,-0.17632859087725752,-1.4612808679959643,5,1,1,1,7
0.43996774050198106,0.513823201027177,1.4579069282713992,-1.829854176988158,4,1,0,0,4
-0.8025421026827413,0.9607000727089338,0.48336562325291177,-0.2557553283836863,3,1,0,0,4
-0.27974660158154185,0.866178780746774,-0.8295562055548628,0.010737470523083098,3,1,1,1,7
-0.9556624909659566,-1.244269722969875,0.002185977957910746,0.1326178018638925,1,0,0,1,1
0.29626866487042075,-1.1729164508325658,0.8639187945883057,0.7534227798962374,2,0,0,0,0
-0.09031548650646135,1.8245905291449496,1.2081487837430256,2.073335640616348,5,0,0,1,1
0.9504470430602268,0.6524238686470465,-0.8993412184785279,-0.3423426993686143,5,0,1,1,3
0.8096650419812459,-1.417255494158867,0.7604581700531833,-0.5443691981046234,2,1,0,1,5
-1.2635339940293726,0.3481320001081076,0.2525005778532424,-1.759237888044292,1,1,0,0,4
0.4069905314552761,-0.36212360327408477,1.1044048138778393,0.24340562441052063,3,0,0,0,0
0.6969323196734047,-1.4434139558016614,1.3904153925300395,0.8534084859696337,4,0,1,1,3
0.755879267032884,-2.290188171710507,-0.34330546166703096,-0.2604374795229354,1,1,0,0,4
1.030059659279482,-1.202666694202812,-1.4495927040836547,1.180615034445457,3,0,1,0,2
-0.24957699267008998,0.6717925426286556,0.3958365186163136,0.03028989638293365,2,1,1,0,6
-1.1508318272858518,-0.048072218113468894,1.7766214373122964,1.5148531208182028,2,0,0,1,1
0.7300700252424972,-0.2491591906253043,0.6855821088303206,0.3331335905337007,4,0,0,1,1
-0.7654646714857103,0.28467815379595623,0.23016283043594152,-1.0571606593652096,2,1,0,0,4
-2.3595375327777033,1.0011304268130048,2.4010455344134387,-0.6368204579106495,2,0,1,1,3
0.8252999446570168,-1.7025074395349957,-1.0400258818783492,-1.5337461760334976,2,0,1,1,3
-0.7241849256687074,0.09884881785501615,0.9029901879500623,-1.7370627887845507,2,0,1,0,2
-0.006066201009667038,-0.8279146503542845,-0.5704376608578396,0.2669149110795772,2,1,0,0,4
-1.597979348230412,-0.833194977789162,0.04963433300767492,0.86959797449573,1,0,1,1,3
-1.225527587005121,-0.5472012780590004,0.08964360734198178,1.9542618330782782,1,1,0,1,5
-1.356588841975608,-0.12287209779427118,1.5146366362100012,-0.05517381159826625,1,0,0,1,1
-0.5606498517318113,-0.2663564565596157,-0.9360138054280742,-0.2368591651031038,1,0,0,1,1
0.46999907615593056,-1.454667313435725,-0.5350877091218409,-1.1090369548882395,1,1,0,1,5
-1.9978112157574073,-0.48314951464260525,-1.5929520224677045,0.9873125410050426,1,1,0,0,4
0.8521731746180223,2.415832891923969,0.4871991637164996,0.38917670111286556,5,1,1,1,7
-1.0819981627886008,-0.6545548440464312,-0.45823180986740225,-0.5951306979309751,1,1,1,1,7
-0.9663117579540621,-1.6870929784979103,0.42196704266287827,0.688530877614755,1,1,0,1,5
0.7778553880749939,0.2752415694120718,-1.0732657853193146,0.5613488900872303,4,1,0,1,5
0.025366067485606048,0.596628160814871,-0.3593836201417766,-1.869951808790086,3,1,0,1,5
-1.436433786240688,0.4640441020951936,1.0389290549830164,0.7426938878917348,2,1,0,1,5
2.144592687234373,-0.719717535846507,-0.1743192140970744,0.13610945603926625,4,1,1,0,6
-1.060621604940783,0.9980949252420801,0.6256391265171344,-0.3914763617288338,2,0,0,1,1
0.5473159519474867,-0.3853321885058488,0.5283265576456647,-0.417080244856397,2,1,1,0,6
0.19989034860785518,-0.7348764542406186,-0.35317268495384946,1.748402302841818,3,0,1,0,2
1.2113271618631944,-0.6084775231799567,-1.5597459332048416,1.5359627176539896,4,0,0,1,1
-0.35566883544588757,-0.10870050672072484,0.9854000437341416,1.8259419292257826,3,1,0,1,5
1.0080896843825944,0.7140914280644555,0.17070737231525257,-1.1486662338660198,4,0,0,0,0
-0.6418895223181268,1.0238318256883452,0.9832800898049142,-0.6544947738796928,3,1,1,1,7
